P000708064,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000708064,ART 331B 01,Mus Sites Cities: Castles/Crowns-Eng/Scot,20182,P000681255,Tina,Shaffer,shaffer@hood.edu,shaffer,NULL
P000708064,AFAM 251 01,The African Diaspora,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000708064,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000272561,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000272561,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000272561,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000272561,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000172003,BIFX 547 01,Web-based BIFX & Apps in Life Sciences,20182,P000057539,Jimmy,Smith,smith@hood.edu,smith,NULL
P000172003,BIFX 501 01,Foundation in Life Sciences,20182,P000168651,Teresa,Jackson,jackson@hood.edu,jackson,NULL
P000172003,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000172003,BIFX 551 01,Programming for Bioinformatics,20182,P000153880,Jacqueline,Webb,webb@hood.edu,webb,NULL
P000606724,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000606724,ART 220 01,History of Art I,20182,P000687947,Lisa,Baldwin,baldwin@hood.edu,baldwin,NULL
P000606724,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000606724,BIFX 550 01,Nucleic Acid Seq Analy/Protein Modeling,20182,P000711803,April,Gross,gross@hood.edu,gross,NULL
P000606724,ASL 102 01,American Sign Language II,20182,P000313820,Heidi,Booker,booker@hood.edu,booker,NULL
P000619548,ART 250 01,Art of Asia,20182,P000917763,Cindy,Perez,perez@hood.edu,perez,NULL
P000619548,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000619548,ART 299G 01,Special Topic: Art of Three Faiths,20182,P000812837,Charles,Graham,graham@hood.edu,graham,NULL
P000619548,ARAB 202 01,Intermediate Arabic II,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000619548,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000020974,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000020974,BIFX 545 01,Leadership Skills/Proj Mgmt in Life Science,20182,P000313820,Heidi,Booker,booker@hood.edu,booker,NULL
P000020974,ART 299G 01,Special Topic: Art of Three Faiths,20182,P000812837,Charles,Graham,graham@hood.edu,graham,NULL
P000020974,BIFX 551 01,Programming for Bioinformatics,20182,P000153880,Jacqueline,Webb,webb@hood.edu,webb,NULL
P000020974,BIFX 547 01,Web-based BIFX & Apps in Life Sciences,20182,P000057539,Jimmy,Smith,smith@hood.edu,smith,NULL
P000303569,ARAB 202 01,Intermediate Arabic II,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000303569,AFAM 251 01,The African Diaspora,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000303569,ART 308 01,Myths Saints and Symbols,20182,P000711803,April,Gross,gross@hood.edu,gross,NULL
P000303569,BIFX 550 01,Nucleic Acid Seq Analy/Protein Modeling,20182,P000711803,April,Gross,gross@hood.edu,gross,NULL
P000327018,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000327018,BIFX 550 01,Nucleic Acid Seq Analy/Protein Modeling,20182,P000711803,April,Gross,gross@hood.edu,gross,NULL
P000327018,ARAB 102 01,Elementary Arabic II,20182,P000434632,Emily,Coleman,coleman@hood.edu,coleman,NULL
P000327018,ARTS 564 01,Aesthetics and Criticism,20182,P000825275,Julie,Burgess,burgess@hood.edu,burgess,NULL
P000327018,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000404872,ANTH 201 01,Introduction to Anthropology,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000404872,ARAB 202 01,Intermediate Arabic II,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000404872,ARAB 105 01,Arabic Conversation,20182,P000168651,Teresa,Jackson,jackson@hood.edu,jackson,NULL
P000404872,AFAM 251 01,The African Diaspora,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000404872,AFAM 251 01,The African Diaspora,20182,P000662093,Melissa,Harmon,harmon@hood.edu,harmon,NULL
P000824497,ART 308 01,Myths Saints and Symbols,20182,P000711803,April,Gross,gross@hood.edu,gross,NULL
P000824497,ART 250 01,Art of Asia,20182,P000917763,Cindy,Perez,perez@hood.edu,perez,NULL
P000824497,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000824497,ART 306 01,Writing for Art and Archaeology,20182,P000263439,Kevin,Avery,avery@hood.edu,avery,NULL
P000016634,ART 213 01,Art History and Humanities,20182,P000252963,Jennifer,Gill,gill@hood.edu,gill,NULL
P000016634,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000016634,BIFX 501 01,Foundation in Life Sciences,20182,P000168651,Teresa,Jackson,jackson@hood.edu,jackson,NULL
P000016634,AFPS 240 01,African American Politics,20182,P000153880,Jacqueline,Webb,webb@hood.edu,webb,NULL
P000016634,BIFX 501 01,Foundation in Life Sciences,20182,P000168651,Teresa,Jackson,jackson@hood.edu,jackson,NULL
P000957381,BIFX 551 01,Programming for Bioinformatics,20182,P000153880,Jacqueline,Webb,webb@hood.edu,webb,NULL
P000957381,ART 250 01,Art of Asia,20182,P000917763,Cindy,Perez,perez@hood.edu,perez,NULL
P000957381,ARLS 354 01,Mesoamerican Art and Archaeology,20182,P000057539,Jimmy,Smith,smith@hood.edu,smith,NULL
P000957381,BIFX 546 01,Knowledge Reasoning/Machine Learning,20182,P000066709,Anthony,Patterson,patterson@hood.edu,patterson,NULL
P000932721,ARAB 102 01,Elementary Arabic II,20182,P000434632,Emily,Coleman,coleman@hood.edu,coleman,NULL
